"gene_symbol","T41231_008","T41231_012","T41231_013","T22568_001","T22568_002","T6445_001","T6445_002","T6445_003","T6445_004","T226_002","T226_003","T226_004","T14908_002","T14908_006","T2158_013","T15959_002","T15959_003","T15959_004","T15959_005"
"IFNL1",25,46,45,27,10,30,26,41,31,25,17,36,36,25,26,4,8,10,20
"PIK3CB",36,55,62,29,14,36,32,46,38,28,23,48,44,29,28,12,12,17,28
"FCER1A",35,51,48,31,11,35,28,45,41,28,17,43,49,30,35,10,10,15,29
"CTNNB1",208,307,420,263,64,97,67,117,89,100,92,109,197,143,118,67,85,108,139
"IL1RAP",36,60,63,59,22,29,27,93,65,33,63,52,51,37,55,10,10,19,32
"CCR2",30,50,55,31,12,37,26,42,37,25,20,42,43,35,31,7,8,19,27
"SPRY4",37,62,80,45,25,66,44,72,60,41,32,62,121,82,59,16,10,16,31
"PLOD2",290,506,333,74,38,62,42,212,145,384,457,302,68,60,243,37,35,59,88
"SNAI1",27,41,45,24,10,34,24,39,30,24,17,38,32,30,50,9,8,10,16
"PGM2",32,48,56,32,15,32,24,46,38,37,24,43,55,35,39,10,8,16,28
"CCL5",23,41,37,22,10,68,45,43,32,23,17,34,37,28,25,23,21,78,36
"BCL10",28,45,45,27,15,33,25,38,29,23,22,40,51,45,31,9,8,9,22
"OAT",59,87,99,76,25,76,54,87,85,78,88,95,72,46,92,22,20,32,36
"MAPK9",48,89,90,51,19,49,40,74,53,31,26,57,65,37,33,12,10,18,31
"CD40LG",30,48,52,26,14,34,29,39,31,25,20,42,45,27,28,8,4,12,24
"LBP",22,40,41,22,11,34,23,37,27,21,16,42,38,23,26,7,5,8,17
"ASL",36,68,66,42,21,39,37,58,47,40,40,57,67,45,53,14,11,19,32
"EYA1",29,50,47,32,12,46,35,56,39,26,19,38,44,31,30,12,8,23,36
"SMC1A",52,79,97,57,22,51,33,64,50,42,42,60,54,37,38,11,11,21,30
"CX3CL1",21,49,44,22,12,27,24,40,36,23,16,39,33,28,29,7,6,6,15
"CXCL9",16,36,38,18,8,43,67,41,28,20,15,29,25,35,18,7,10,40,19
"FN1",1558,3624,604,505,169,754,368,592,407,315,1135,277,5585,3198,3731,1665,1078,1529,2712
"H3-3A",242,316,539,254,69,269,152,261,186,193,211,222,189,127,116,67,61,114,107
"LIFR",22,37,39,23,14,28,21,39,29,27,18,30,28,24,22,8,7,10,17
"CCL25",21,32,34,22,10,24,23,27,26,19,15,24,26,23,21,3,5,9,15
"PPP3CB",37,59,67,42,20,49,35,60,37,50,43,55,49,34,40,13,12,24,48
"JAML",28,52,42,25,12,41,31,46,31,23,22,37,110,54,32,12,11,24,27
"CT45A1",27,43,48,20,21,68,46,60,33,32,15,37,36,33,28,32,36,59,142
"FH",45,81,84,48,14,48,40,61,46,41,31,57,51,40,44,13,11,18,33
"DKK4",27,50,48,24,17,34,33,46,34,28,21,39,39,30,28,9,6,12,25
"WNT2B",83,126,209,199,34,39,26,86,77,76,81,92,40,27,25,9,6,8,26
"SRP54",64,103,109,69,32,45,37,60,49,60,51,73,69,46,62,14,18,28,40
"CD40",46,81,85,40,22,60,42,71,51,39,30,65,86,56,45,16,17,26,46
"BLNK",28,41,39,21,10,26,23,34,27,19,16,32,38,25,25,8,7,17,19
"BMPR1B",27,60,61,31,12,35,30,45,35,26,21,38,38,30,29,7,7,15,24
"PPARGC1A",30,43,48,40,17,30,26,34,31,21,17,35,42,25,28,6,4,9,22
"IL17RA",36,59,61,31,17,38,29,45,36,29,24,43,63,36,35,14,13,23,29
"CTAGE1",21,44,45,20,11,33,27,38,32,23,15,36,34,22,23,6,6,10,21
"SPIB",30,53,51,26,17,36,29,47,36,30,18,42,39,30,26,13,8,15,44
"CD19",29,50,48,25,13,36,29,48,36,23,17,40,40,29,25,10,6,16,29
"DIPK2B",25,49,43,31,14,37,29,43,35,24,19,45,40,29,42,13,9,17,29
"BNIP3",24,48,43,30,20,35,29,76,61,31,22,27,22,19,22,14,4,15,16
"PIK3R5",25,44,43,23,15,35,25,33,32,25,20,42,47,30,31,12,9,18,24
"ALKBH3",30,49,58,32,18,32,24,46,36,34,26,52,43,31,25,10,8,15,21
"RUNX1T1",27,59,50,51,25,55,37,41,34,26,17,42,40,29,31,12,8,14,27
"TREM2",36,60,59,38,14,40,28,49,39,27,29,48,44,37,39,9,13,17,25
"UBE2T",31,57,59,38,13,36,25,52,46,31,25,36,44,33,32,8,9,13,20
"IGLL1",45,54,90,32,19,51,29,60,42,29,28,61,46,24,31,8,9,11,24
"TLR8",28,48,55,23,12,37,34,42,30,22,18,42,42,26,24,10,11,15,24
"CCL3/L1",24,38,35,23,24,46,30,45,34,44,28,51,35,23,29,23,13,30,28
"COX6B1",84,143,218,70,32,103,78,126,108,123,125,143,105,76,83,38,37,60,72
"CACNA2D2",28,49,50,27,13,30,28,41,31,20,21,40,34,28,27,8,6,8,27
"TOP2A",57,75,127,75,20,57,37,69,59,59,46,54,51,34,53,13,12,21,29
"FLNC",125,211,230,110,28,77,44,111,112,134,127,97,50,37,91,11,8,20,33
"G6PD",40,70,72,58,23,35,26,49,31,38,33,52,63,43,36,12,10,18,27
"CD69",30,56,54,28,12,38,29,55,48,33,20,50,51,32,31,15,14,27,30
"HERC6",32,58,58,30,14,35,33,48,54,28,19,47,52,37,26,11,9,15,20
"PRKACA",49,72,90,52,16,50,41,60,46,52,43,68,53,40,42,14,13,19,34
"RIPK1",53,88,127,44,25,46,36,58,46,42,44,56,58,44,45,15,14,24,28
"ITGAM",32,49,44,30,20,33,26,48,36,24,18,39,65,34,34,12,13,17,37
"BRD3",50,87,105,40,20,49,33,68,50,54,50,77,51,39,33,12,10,19,20
"CCL4",28,40,43,30,14,49,38,41,34,29,17,32,38,22,28,14,12,47,34
"CD2",25,54,56,28,13,53,35,44,36,22,20,43,55,36,28,16,11,34,24
"SLC39A6",55,103,89,45,18,49,42,79,62,42,35,57,59,47,52,17,14,21,41
"IL2RB",24,40,44,23,18,48,31,38,29,28,21,42,43,28,30,12,16,30,26
"AIRE",24,51,47,27,14,36,27,37,32,27,19,46,39,27,27,7,8,9,17
"SMC3",39,64,75,52,24,58,37,66,64,49,45,69,60,39,42,14,11,25,31
"SMC1B",29,59,54,32,13,31,29,41,34,28,17,46,44,38,30,6,5,12,21
"C8B",23,44,49,25,12,32,26,41,29,23,16,41,39,26,26,5,8,14,23
"S100A12",25,51,44,24,15,31,24,42,33,29,20,40,35,29,24,10,7,11,21
"CREB3L3",23,39,41,18,13,32,26,34,28,23,16,37,33,28,23,8,7,10,27
"CDH5",28,49,61,26,10,40,33,44,35,30,19,44,42,30,69,6,5,12,19
"DEPTOR",26,48,48,31,14,39,31,46,37,92,107,131,47,29,31,27,36,35,58
"RASGRP2",32,57,51,30,13,42,31,44,34,24,20,36,53,31,29,7,7,12,20
"SMAD2",50,86,100,44,20,65,40,82,63,45,31,68,64,48,45,14,13,23,32
"ZEB2",45,92,113,37,23,189,124,56,42,47,72,74,84,52,74,28,21,45,50
"NOTCH2",332,425,528,99,34,69,40,114,83,70,124,95,93,56,60,28,22,42,43
"ADH1A/B/C",88,84,192,32,14,105,72,62,43,68,27,114,47,28,28,15,10,16,29
"F2RL1",84,218,60,31,28,41,34,62,56,30,20,43,114,71,51,9,12,17,22
"WT1",65,79,233,27,10,28,23,99,84,29,17,34,37,22,42,18,17,35,37
"CD22",33,61,84,32,14,42,31,89,83,26,25,45,46,35,30,7,9,13,26
"ARMH3",43,66,73,40,17,48,38,50,40,41,36,62,57,33,36,12,10,20,26
"IFI6",77,90,69,36,17,43,33,75,146,36,31,43,74,74,53,36,26,38,55
"COX4I1",155,243,422,158,46,104,78,125,80,191,198,220,164,105,135,46,38,77,82
"COL1A1",3720,4332,2373,2487,526,1074,646,293,177,1130,6668,758,991,642,7880,1578,1287,2645,3475
"TRAF1",27,60,55,30,14,38,32,51,39,28,19,47,46,34,32,13,11,24,22
"PPARGC1B",26,45,50,28,10,35,29,34,30,25,17,33,34,25,20,8,7,15,21
"ASPG",31,57,52,24,15,40,28,45,43,32,19,47,39,33,29,9,7,12,18
"LILRB3",27,38,50,23,17,25,33,47,32,25,18,35,42,22,30,8,9,12,17
"KIF2C",26,46,40,33,12,25,22,38,32,29,16,34,30,29,29,5,5,10,16
"APOE",27,45,55,31,14,36,34,45,33,30,20,44,47,26,36,7,9,10,43
"CD1D",33,54,58,27,12,38,27,46,40,27,19,53,44,31,31,8,7,11,20
"PSMB10",34,60,74,41,17,57,45,71,39,44,33,51,64,44,44,21,19,43,36
"PRG2",32,53,59,30,10,33,33,50,36,27,22,42,44,30,30,11,7,13,23
"TXNIP",112,154,360,128,51,289,220,251,159,393,96,598,311,234,93,61,71,127,93
"IL21",28,51,55,29,15,38,29,43,35,28,20,44,45,32,29,7,7,12,23
"B2M",676,896,1911,716,167,1254,917,691,539,712,488,685,1516,1816,842,752,659,1330,690
"MIB1",54,91,102,53,23,60,34,54,45,40,36,58,57,40,44,12,13,20,28
"ZBTB16",31,52,48,28,13,33,33,44,36,45,26,73,40,24,26,7,6,9,18
"IL1R1",58,128,157,40,17,98,57,57,36,45,45,59,62,48,71,19,16,31,41
"RANBP2",76,127,148,80,36,72,50,79,74,65,56,84,76,50,55,17,17,31,42
"IL1R2",31,47,50,28,15,40,30,53,33,27,22,40,48,28,29,7,6,15,22
"PMS2",31,61,60,51,21,38,27,48,42,34,24,49,43,29,31,11,7,12,17
"MSR1",35,56,56,32,13,47,41,48,30,26,16,43,49,29,50,11,17,21,27
"C2",38,77,94,27,18,41,39,45,39,45,30,76,52,37,37,14,11,26,26
"SLAMF6",34,57,63,32,17,53,43,64,43,28,26,45,52,37,35,12,11,29,28
"CD38",36,51,46,31,12,38,34,39,32,28,26,45,42,35,32,10,9,16,27
"NTF3",21,47,44,38,19,41,32,48,35,27,19,40,42,25,24,8,7,14,29
"ETV4",29,55,42,36,21,38,29,54,49,34,23,42,43,26,29,7,8,12,21
"CEACAM8",24,39,41,21,10,25,25,36,31,23,16,36,55,28,26,6,5,9,19
"EIF4EBP1",63,95,113,61,28,70,48,81,94,45,57,56,59,52,82,17,14,26,36
"CEACAM6",24,43,43,22,10,29,27,39,33,25,18,36,33,25,20,6,6,8,18
"SMAD5",53,81,110,51,24,55,40,66,50,40,33,54,51,32,42,15,11,17,27
"PIK3CD",28,51,44,29,16,38,27,40,31,27,19,41,41,33,29,14,12,27,20
"HACD2",37,61,76,29,15,34,28,58,45,32,30,43,49,35,30,14,11,14,25
"IL20RB",26,42,46,29,13,31,30,41,32,24,20,40,39,31,24,6,8,11,19
"MLPH",37,59,71,35,31,32,27,44,41,24,21,42,120,103,59,9,10,15,32
"ITK",32,53,54,29,12,38,32,48,37,26,18,50,43,35,27,10,8,12,25
"PRL",22,42,35,20,7,25,23,38,30,26,16,36,31,24,19,6,6,10,19
"HELLS",29,53,62,34,13,45,38,50,46,40,36,52,38,28,37,9,8,16,27
"IL5RA",26,42,45,25,11,29,23,39,27,22,14,34,34,24,17,10,7,9,16
"PTCD2",30,52,53,27,17,36,24,40,32,31,23,42,40,32,30,7,7,9,20
"FLNB",39,85,86,48,28,42,39,96,81,124,114,99,90,138,88,26,21,33,35
"TMEFF2",31,51,53,30,13,37,26,48,38,26,16,45,39,30,30,6,5,10,28
"MAGEA1",30,55,56,26,20,32,24,48,34,31,23,43,42,33,33,7,9,13,23
"HAMP",46,54,69,28,17,39,23,45,45,29,23,43,46,27,44,16,11,22,21
"SIX1",32,59,56,32,16,32,28,44,38,32,26,46,42,34,33,8,7,12,26
"BAGE",37,68,72,58,37,93,62,123,94,46,32,68,70,52,43,25,22,43,46
"SIGLEC5",26,44,45,25,14,28,23,44,32,26,19,37,40,25,23,8,7,12,20
"AMH",24,48,44,30,15,62,39,49,40,52,59,62,43,27,25,8,7,16,22
"TWIST1",38,63,61,39,20,31,26,48,35,35,27,57,55,33,44,12,15,22,40
"NGF",32,52,59,50,31,34,29,45,32,28,28,45,51,31,34,9,8,9,26
"PPL",58,86,119,83,28,27,25,98,82,45,23,54,68,68,23,6,4,12,25
"LY96",39,68,72,36,22,46,38,44,41,35,23,46,58,36,34,15,9,24,27
"KLRC1",24,38,46,22,13,28,23,40,27,24,14,34,36,24,26,4,6,10,17
"COL4A5",55,66,89,96,29,42,31,70,42,86,57,96,48,44,34,14,17,21,30
"SERINC2",32,54,49,36,14,29,26,43,34,30,24,41,43,37,29,8,6,10,28
"MR1",29,54,57,34,16,42,32,59,35,34,17,45,44,34,31,9,8,14,23
"JUP",54,87,82,33,16,51,36,57,63,30,37,40,80,58,38,15,13,22,27
"MAPK3",41,73,97,46,24,56,44,65,49,46,39,64,65,49,51,15,17,22,33
"CD46",81,128,144,66,36,73,61,106,78,81,69,103,84,70,54,17,22,32,45
"DDX58",35,75,61,35,16,36,24,46,48,35,27,45,40,53,26,16,14,21,19
"TRAF2",37,59,60,39,20,40,32,62,39,35,28,51,48,39,32,9,8,16,16
"IL7",24,47,45,27,11,29,24,36,26,21,18,35,25,26,22,7,4,10,22
"DNAJC14",48,79,82,50,21,52,42,68,64,54,46,71,47,39,41,14,10,17,35
"SETD2",42,65,84,30,13,43,33,57,43,54,48,77,58,40,39,13,10,22,29
"ASXL1",24,66,59,25,24,48,37,39,39,37,19,43,30,21,25,7,4,13,25
"LAMP1",125,197,208,151,58,117,73,90,72,89,76,101,111,73,113,45,44,70,64
"NSD1",55,96,95,60,24,47,38,73,56,44,33,62,62,41,38,13,11,23,26
"CASP7",25,52,58,30,14,40,33,47,34,37,26,53,49,33,35,11,11,15,23
"EPHA2",49,83,109,69,25,33,29,114,51,54,38,57,51,43,35,15,11,24,30
"SGK2",28,53,55,33,19,34,30,43,42,26,19,42,41,29,26,10,8,11,27
"ENG",39,61,98,36,23,89,74,56,35,51,27,52,71,41,131,17,15,28,39
"ERCC3",50,72,87,59,30,57,37,69,58,57,47,64,48,38,34,9,11,20,27
"SREBF1",65,120,117,76,28,70,48,150,90,54,49,71,80,53,49,21,21,33,47
"GNLY",22,39,42,23,14,35,25,34,26,22,17,31,31,24,24,6,9,20,29
"DTX3",44,77,81,59,33,63,47,63,60,44,44,72,49,33,33,12,10,18,31
"NCR1",31,42,43,28,9,32,28,42,41,26,19,31,36,22,23,6,8,14,23
"SFXN1",57,101,118,69,24,48,35,99,66,45,41,57,55,39,49,14,12,22,30
"PLA2G1B",24,47,53,28,11,33,26,45,34,24,17,43,42,28,29,7,8,12,25
"CDKN2C",28,46,61,41,16,29,23,40,28,21,21,35,35,24,29,6,6,13,19
"ITGAV",110,210,179,70,23,120,75,108,78,50,112,63,106,83,110,38,30,50,62
"RPS6KA6",32,51,65,28,16,31,24,41,36,24,17,41,42,26,28,7,9,9,22
"PRM1",26,46,43,27,13,30,27,41,37,23,19,38,38,24,26,9,7,11,23
"CFI",78,134,216,35,17,86,50,138,89,78,60,115,55,33,55,23,20,29,41
"SLAMF1",29,57,53,32,17,44,33,43,41,32,21,49,48,34,35,10,10,16,34
"PRKAR1B",52,80,122,71,31,53,43,79,60,72,47,98,55,42,40,11,10,18,35
"ATG10",30,54,51,33,16,37,23,46,36,26,19,41,45,26,26,10,8,14,29
"ADORA2A",22,48,48,25,15,39,23,49,20,26,19,34,48,34,30,6,9,11,19
"ACSF3",41,71,68,40,21,45,32,40,38,41,34,58,50,34,32,9,11,17,30
"CDKN1C",41,56,70,77,34,35,26,55,57,41,37,61,43,36,32,9,8,13,23
"CD84",33,48,49,29,13,46,36,41,33,30,20,41,55,37,36,18,14,29,27
"CENPF",30,48,65,48,9,33,31,49,37,30,19,33,39,30,32,7,6,11,24
"IL1B",30,52,48,31,29,39,31,52,45,31,19,42,42,30,32,7,10,14,27
"RASGRF2",26,43,41,24,15,28,23,43,29,23,18,39,35,27,32,12,11,18,24
"CASP9",33,51,68,33,16,35,27,40,35,23,21,42,39,30,29,8,10,12,28
"EPO",23,40,47,22,12,29,28,45,34,21,18,37,36,29,26,6,6,8,21
"TGFB1",65,153,79,40,41,71,55,65,60,53,50,55,139,74,143,26,25,44,42
"CREBBP",63,87,125,67,26,64,51,76,67,67,62,85,53,32,37,15,15,22,36
"RET",23,49,49,29,13,39,31,47,42,29,16,45,38,34,29,6,11,13,27
"STING1",52,71,97,49,28,77,54,79,54,63,57,81,72,44,57,17,22,35,41
"ERO1A",47,98,74,52,39,44,32,65,61,41,38,54,58,41,64,13,12,22,23
"APOA4",26,51,50,26,13,31,29,43,33,22,18,43,38,28,28,7,6,12,20
"HOXA9",27,48,52,32,14,37,34,47,42,19,23,43,42,23,22,7,7,9,19
"ULBP2",44,75,67,38,20,45,50,49,38,33,30,60,55,47,37,6,9,18,26
"TNFRSF13B",28,47,46,21,11,32,28,47,36,28,13,38,38,27,23,8,8,11,22
"FOXC1",50,76,91,53,24,40,35,56,45,44,84,64,67,50,34,9,12,15,27
"HLA-DRB4",84,65,111,72,39,45,56,36,38,46,26,74,51,26,51,117,158,218,140
"STAT2",92,137,155,101,50,114,71,126,126,92,77,113,103,90,60,48,43,73,78
"TLX1",29,50,44,22,11,37,25,42,32,26,19,41,40,27,28,8,8,11,22
"CD70",27,44,51,29,14,39,33,52,37,24,15,40,41,26,26,10,8,13,25
"BATF3",26,52,44,30,16,48,42,53,36,28,22,45,45,31,34,10,7,15,34
"BNIP3L",84,125,98,74,48,60,47,86,80,40,41,65,74,53,54,17,17,23,39
"PRMT8",24,40,40,29,12,27,24,38,31,22,18,37,35,30,24,7,6,11,21
"CACNG1",28,44,43,27,10,33,27,43,31,26,17,35,35,24,28,7,6,13,18
"GADL1",24,47,47,26,10,28,22,41,31,21,15,38,33,26,25,8,5,9,18
"IGF2R",80,131,126,114,39,79,56,78,67,74,86,98,74,57,66,16,14,32,31
"LEP",21,44,41,27,11,31,24,37,29,23,18,34,31,25,23,8,4,10,18
"KRAS",51,77,79,60,18,61,48,73,60,35,31,47,58,35,30,12,10,19,26
"ASPA",32,58,70,22,13,47,34,50,39,31,20,42,43,30,29,8,9,11,22
"STAG2",63,98,118,54,27,58,47,85,66,61,55,96,63,47,41,13,14,23,31
"IBSP",26,42,50,35,14,41,24,42,33,23,14,40,46,33,29,9,7,14,21
"LAMB3",26,43,52,24,13,28,27,41,29,20,18,42,45,48,29,6,6,12,16
"RHOA",84,136,168,120,37,125,72,126,93,115,135,138,152,100,102,43,41,80,69
"IFNA7/17",27,42,36,23,10,38,27,41,27,18,14,30,30,30,22,7,4,14,17
"CD99",174,278,226,178,74,95,63,78,67,148,184,157,117,88,207,49,36,60,73
"PAK5",29,53,57,33,16,38,31,49,40,26,21,43,50,36,30,11,7,10,23
"POLD1",33,51,58,32,15,37,25,46,41,32,31,42,39,29,29,8,6,12,19
"HNF1A",32,61,62,34,16,41,35,47,48,24,18,43,45,30,30,10,10,13,22
"NFAM1",30,50,56,29,13,34,29,43,37,30,22,45,55,36,33,10,6,20,25
"MUC4",32,53,51,34,14,39,32,46,36,26,23,52,42,35,29,9,8,12,24
"ITCH",66,95,137,55,24,50,39,62,51,55,57,70,64,43,48,14,14,22,30
"RPL23",753,1061,1755,730,397,500,291,895,655,952,785,1286,573,334,417,174,194,361,301
"NECTIN2",108,148,226,102,30,63,40,112,79,74,84,71,60,42,59,15,15,27,28
"LEPR",28,55,59,33,14,32,27,44,36,30,16,40,45,34,33,7,7,9,19
"UQCR11",51,87,88,44,20,63,41,68,58,49,48,79,60,45,42,15,15,26,38
"LAT",26,39,45,22,11,40,30,33,29,24,26,38,33,28,23,9,10,15,28
"CDKN1B",37,58,68,61,21,46,38,54,60,41,33,58,50,35,40,14,16,25,35
"IRAK1",62,90,140,66,27,50,37,71,62,70,76,86,76,41,38,17,11,24,38
"CD80",24,45,42,28,12,34,27,35,34,26,19,40,43,33,28,9,9,15,21
"HSP90B1",206,309,376,462,100,154,115,207,166,127,152,135,109,91,162,43,43,68,102
"ABCF1",42,75,79,53,24,50,44,60,49,46,44,65,51,33,40,12,15,19,26
"PITX2",28,53,58,24,14,37,30,47,39,30,28,46,41,28,32,9,10,17,32
"MUTYH",31,53,56,33,13,30,31,46,32,29,25,49,46,32,28,9,9,13,19
"NDC1",40,67,71,45,18,34,24,49,34,28,25,38,43,32,27,9,6,12,33
"NUMBL",74,114,162,75,37,55,36,72,62,84,94,122,58,45,43,21,18,26,39
"TLR10",24,45,44,24,12,27,25,41,31,28,19,37,37,25,33,8,5,12,23
"RORC",28,45,44,23,12,37,32,49,41,28,20,38,38,23,31,8,8,13,23
"ALDOC",25,48,41,35,17,28,25,42,33,25,20,35,38,27,34,8,8,19,33
"CD33",34,64,58,33,13,40,32,55,37,29,24,47,57,36,28,11,9,15,27
"KRT17",33,66,56,815,87,40,28,821,471,13,15,39,164,123,31,7,7,10,15
"TLR1",33,48,56,29,17,36,34,44,33,31,21,46,46,27,40,14,13,23,22
"CD1C",27,49,51,27,11,36,27,48,34,24,20,41,48,30,25,8,7,14,30
"NFIL3",40,65,67,35,20,42,32,61,51,35,27,52,50,34,36,8,10,12,24
"LDHA",33,58,52,39,17,33,27,47,37,28,26,37,37,26,25,8,7,11,22
"PLA2G5",24,48,46,23,11,32,23,36,30,24,18,35,40,27,25,9,6,10,27
"SHC3",31,62,49,32,13,44,35,49,34,30,22,38,46,34,28,10,8,11,22
"UQCR10",37,61,84,32,14,38,26,44,30,38,31,53,58,38,37,11,7,15,22
"BBC3",31,57,52,30,14,59,40,60,47,35,35,57,50,35,37,9,14,14,36
"CPSF7",53,99,126,98,43,48,34,68,57,49,52,64,57,34,42,11,10,24,31
"SPRED1",38,60,74,53,27,53,42,54,47,60,43,77,74,63,59,15,14,23,35
"CSF1",36,55,56,53,30,48,33,53,33,39,38,53,51,47,49,19,13,32,42
"GIMAP4",31,42,55,26,12,62,43,44,33,29,26,46,53,39,40,23,19,45,29
"PLA2G4C",24,60,51,27,14,44,28,50,34,39,30,50,37,33,33,9,9,14,30
"MAP3K14",47,85,75,54,35,56,43,62,45,41,31,65,68,42,43,15,12,24,43
"CEBPB",45,95,116,81,30,51,45,70,68,43,31,52,91,58,48,17,14,30,29
"ID1",83,115,120,63,27,56,43,102,73,109,47,123,112,75,88,13,11,14,29
"TBC1D10B",46,72,83,58,22,54,35,61,47,46,48,61,55,39,43,12,12,18,38
"NFATC4",36,60,62,56,26,48,35,50,44,26,25,44,51,38,35,10,9,14,39
"TICAM2",28,56,43,35,14,38,27,54,35,28,24,42,47,29,39,12,7,15,25
"WNT5B",27,48,47,35,20,37,26,45,36,29,40,41,61,35,25,9,6,14,26
"ATP5ME",70,101,153,101,35,118,85,163,119,109,104,122,129,76,113,39,36,50,75
"NDUFA2",52,80,107,52,20,53,34,78,55,39,37,60,74,54,48,18,15,22,36
"IL3RA",26,49,51,31,17,30,27,41,29,29,23,40,42,32,38,8,8,12,26
"SRR",33,57,63,28,13,33,27,47,37,31,21,41,49,36,29,10,9,15,28
"COL5A1",363,594,382,281,87,337,179,205,111,236,1119,195,136,113,1065,239,174,356,280
"PPP2R3A",31,47,46,22,10,26,25,35,28,28,27,35,39,30,24,8,5,10,19
"CAMK2B",25,46,40,31,11,33,28,42,33,29,16,39,37,25,23,8,6,12,20
"THBS4",34,57,53,53,16,41,32,48,38,40,19,47,39,31,28,7,9,16,28
"TCL1B",29,54,55,30,16,38,31,47,38,29,18,43,41,30,31,10,6,14,21
"JAK1",69,107,146,59,32,64,45,81,50,64,51,77,84,53,61,21,19,40,41
"HLA-DRB",246,156,383,105,44,317,310,144,83,181,124,207,605,503,134,274,307,594,304
"MAP3K8",40,66,66,36,15,49,33,61,55,51,37,57,50,38,41,16,12,19,26
"ANLN",38,70,96,58,16,51,36,66,61,47,36,54,55,46,43,14,11,16,29
"HRAS",34,56,52,40,22,31,27,45,42,36,33,54,61,34,35,6,9,11,22
"MARCO",37,63,53,28,12,39,31,53,53,32,19,48,43,29,85,9,9,11,20
"PHF6",36,53,58,28,12,38,28,42,40,32,28,45,36,30,26,5,8,18,19
"HDC",27,47,45,27,15,32,22,40,35,30,17,45,43,28,28,6,5,10,18
"ICAM5",31,58,57,30,14,32,33,61,42,27,24,46,44,34,33,8,7,13,28
"ERG",36,55,51,28,22,48,28,45,41,25,22,36,39,31,29,10,8,15,28
"PLA2G10",27,46,44,26,18,42,28,47,40,28,20,42,48,27,22,8,7,15,21
"HLA-DQB1",43,72,70,37,16,49,35,54,47,36,29,62,76,53,32,20,17,36,50
"VCAN",332,539,214,1042,183,321,228,105,80,91,242,80,252,216,300,160,144,214,302
"PLCB1",39,61,72,32,15,45,34,48,45,28,23,38,42,30,31,11,6,8,25
"TAB1",40,63,72,30,16,40,32,49,33,34,25,50,47,34,35,13,13,13,24
"CXADR",52,111,128,68,24,36,27,72,63,31,28,48,40,26,28,7,6,11,18
"FGF13",23,44,41,21,15,31,25,37,25,33,30,43,33,25,25,6,5,6,19
"NDUFA4L2",81,191,76,68,60,40,37,62,57,30,28,53,47,30,141,8,7,14,23
"SEMG1",28,50,51,28,11,34,22,43,30,26,17,41,39,28,27,7,9,11,31
"SLC7A5",36,76,56,79,27,42,31,50,47,55,93,57,53,50,56,14,11,20,22
"PRDX5",99,169,225,131,44,84,55,145,102,115,107,156,116,88,92,23,22,38,53
"NFATC3",45,75,89,37,21,55,43,77,55,46,37,61,60,35,33,15,12,25,35
"LCK",22,40,39,24,15,37,27,34,27,24,17,36,34,26,22,10,7,19,16
"EFNA5",83,103,178,113,42,37,25,49,52,33,25,52,49,28,31,9,8,17,35
"MSRB2",38,56,66,32,15,40,31,58,47,53,53,77,55,38,47,12,12,16,32
"IRS1",23,52,45,31,17,43,35,38,47,21,15,39,55,31,28,8,8,9,21
"NTRK1",20,44,44,24,11,33,23,42,31,23,17,35,45,25,23,8,5,11,17
"HES1",51,95,97,49,18,53,39,59,44,44,57,68,57,42,41,10,6,21,25
"MECOM",26,50,37,29,15,24,23,41,30,26,18,38,41,27,30,7,5,10,18
"IL1RAPL2",28,48,48,27,12,29,25,44,32,27,18,39,41,30,22,7,7,7,21
"CD3EAP",37,61,66,37,13,44,38,54,50,43,29,60,57,36,44,12,9,15,33
"NDUFA7",41,76,83,43,20,52,31,78,55,53,53,69,57,43,39,19,15,24,26
"DUSP10",33,63,62,30,15,43,36,48,37,28,14,37,55,32,30,11,12,16,24
"NDC80",27,52,56,37,13,32,30,45,36,31,25,48,38,30,32,8,10,13,19
"CD276",95,175,122,137,48,106,65,99,72,58,71,64,105,83,140,25,18,32,52
"CD163",77,89,107,46,28,105,127,74,49,99,38,123,81,58,155,39,32,69,50
"AMBP",25,46,41,22,12,29,24,40,32,25,16,38,35,30,25,8,5,8,23
"DLL1",48,79,106,46,27,35,33,47,41,32,22,51,38,28,26,6,6,10,29
"UBC",469,711,930,1261,246,557,356,593,747,826,621,853,687,415,469,200,193,340,355
"TYMS",40,61,81,39,12,59,45,68,49,66,58,70,44,33,49,14,7,20,27
"AURKB",33,52,51,34,14,40,28,43,36,24,27,36,41,28,38,10,8,17,23
"FZD8",30,54,46,27,13,34,29,44,36,27,33,37,38,23,27,10,9,16,19
"MXI1",39,60,70,36,27,41,31,69,67,52,36,59,46,28,36,9,10,15,21
"GRIN2A",42,61,75,26,12,28,23,50,41,26,16,38,36,25,27,8,5,9,23
"VTCN1",34,56,57,32,16,35,28,46,36,28,18,44,42,29,32,7,7,13,26
"FEZ1",29,65,60,33,17,42,28,45,34,26,22,37,37,26,29,9,5,13,25
"SF3A1",60,110,149,61,26,54,39,67,52,53,40,73,74,48,46,16,21,35,45
"OASL",27,52,45,28,11,34,27,44,38,23,18,39,42,40,28,7,7,14,23
"PRKCD",42,71,76,40,18,48,41,54,42,43,34,59,73,43,45,13,15,26,30
"PARP4",81,113,156,74,32,75,59,98,71,52,42,70,91,74,51,21,18,27,35
