"gene_symbol","T41231_008","T41231_012","T41231_013","T22568_001","T22568_002","T6445_001","T6445_002","T6445_003","T6445_004","T226_002","T226_003","T226_004","T14908_002","T14908_006","T2158_013","T15959_002","T15959_003","T15959_004","T15959_005"
"ITGB3",36,63,64,33,16,34,30,54,43,29,22,40,72,46,42,5,9,10,26
"CASP8",42,68,91,46,15,56,37,53,46,63,41,75,49,37,32,12,14,25,30
"UBE2C",33,78,80,66,28,51,27,58,55,34,30,43,54,36,55,10,8,26,28
"BAMBI",34,55,59,30,15,42,32,49,44,27,28,48,50,32,36,14,8,18,29
"PSMB2",51,81,104,49,18,52,35,67,41,41,33,49,67,42,43,15,13,21,31
"RAF1",52,76,97,55,21,51,36,72,53,59,52,73,57,41,35,15,14,25,40
"DUSP8",30,48,51,51,18,41,38,60,50,32,38,46,40,30,36,8,8,14,18
"DAXX",33,49,70,46,18,42,27,47,37,51,39,53,47,33,34,9,9,18,20
"C6",27,46,44,27,13,32,26,44,31,22,18,34,36,26,22,7,7,9,20
"CXCR2",21,36,38,23,11,25,22,38,25,26,13,39,38,28,22,5,6,9,22
"SLAMF7",27,52,48,28,16,50,39,54,38,31,51,53,43,31,28,18,14,40,24
"WDR76",33,57,71,39,16,40,30,48,35,34,22,44,45,30,33,8,8,15,22
"MSH2",37,69,71,42,18,36,31,45,34,39,28,43,37,32,26,6,8,17,19
"RELN",26,51,55,25,17,31,26,38,37,26,21,39,37,32,31,8,6,11,18
"HMGA2",35,58,60,68,21,45,37,54,41,24,22,45,71,55,33,5,8,15,23
"LEF1",34,47,55,43,16,32,29,53,35,21,17,35,64,36,30,10,8,13,34
"PDCD1",26,49,48,25,16,47,32,41,37,26,18,45,39,32,26,12,8,23,20
"ETV1",36,57,58,67,23,44,34,60,45,25,23,50,81,50,29,15,13,21,33
"LILRB2",36,42,81,37,19,47,43,38,36,39,25,44,58,25,41,13,14,24,22
"PIK3R3",27,48,51,28,11,32,26,33,30,32,18,36,37,29,28,8,6,9,16
"ST6GAL1",63,97,153,37,20,46,33,75,74,33,25,45,55,49,26,15,19,24,25
"DNMT3A",58,101,124,129,50,54,37,57,55,43,49,56,54,33,40,11,10,19,23
"CCL13",25,41,39,19,10,37,19,39,30,18,16,27,33,26,24,7,6,8,25
"ETV7",24,44,47,28,10,40,24,46,30,26,22,35,35,26,25,10,9,13,21
"CLECL1",29,54,51,30,16,37,30,45,38,25,24,46,45,28,29,9,9,10,35
"CD160",24,48,47,22,12,28,22,41,35,23,15,34,44,27,30,6,3,10,25
"NOG",37,57,56,33,15,42,29,41,37,35,21,43,49,33,31,9,9,12,45
"COLEC12",90,91,123,60,30,42,32,63,51,34,21,48,46,42,49,12,12,21,31
"HLA-DPA1",75,71,129,46,23,110,92,72,43,50,45,73,148,101,46,47,58,82,87
"CCL16",22,41,44,19,12,29,22,39,32,20,16,31,35,24,20,5,6,9,18
"KIT",25,38,39,18,11,23,20,41,24,19,18,34,31,19,20,6,4,8,16
"PRF1",37,56,55,29,14,44,33,47,40,20,19,47,45,35,30,8,8,19,22
"RPS6KB1",32,58,62,43,21,52,30,54,51,35,30,50,39,36,33,12,8,19,33
"CXCL8",27,45,34,23,13,27,23,47,32,21,14,37,30,25,27,9,7,13,28
"CCL24",22,49,44,18,8,32,23,48,31,23,13,41,30,25,20,5,5,13,15
"EGF",21,41,40,23,12,30,25,40,28,20,18,35,31,26,24,8,7,12,23
"APH1B",37,67,62,36,19,46,38,52,40,33,27,49,50,33,30,11,10,14,33
